,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,Whitehorse,60.7161,-135.0538,23.32,89,92,3.94,CA,1584511200
271,Ternate,0.8,127.4,83.03,73,22,4.92,ID,1584511200
272,Nishihara,26.1842,127.7558,70.03,66,99,15.08,JP,1584511200
273,Kavieng,-2.5744,150.7967,79.61,81,100,10.56,PG,1584511200
274,Porto Torres,40.835,8.3972,55.31,74,11,5.55,IT,1584511200
275,Manaquiri,-3.3167,-60.35,78.06,93,98,1.48,BR,1584511200
276,Novy Urengoy,66.0833,76.6333,14.09,86,45,17.22,RU,1584511200
277,Samarai,-10.6167,150.6667,80.15,83,62,6.24,PG,1584511200
278,San Andrés,12.5847,-81.7006,80.2,75,14,17.83,CO,1584511200
279,Jackson,42.4165,-122.8345,43.43,88,94,3.11,US,1584511200
280,Comodoro Rivadavia,-45.8667,-67.5,65.39,56,0,15.41,AR,1584511200
281,Disna,55.568,28.1971,38.75,84,59,13.87,BY,1584511200
282,Aleksandrov Gay,50.147,48.5704,40.37,45,38,4.29,RU,1584511200
283,Wagga Wagga,-35.1167,147.3667,81.9,24,17,6.96,AU,1584511200
284,Suicheng,33.8963,117.9331,74.57,34,0,16.06,CN,1584511200
285,Tiksi,71.6872,128.8694,-28.21,88,0,7.83,RU,1584511200
286,Winneba,5.3511,-0.6231,80.76,89,100,6.46,GH,1584511200
287,Kokopo,-4.352,152.2633,83.21,79,86,14.97,PG,1584511200
288,Esperance,-33.8667,121.9,70.3,56,0,19.55,AU,1584511200
289,Ballina,-28.8667,153.5667,74.14,61,39,11.61,AU,1584511200
290,Bharatpur,27.2167,77.4833,85.19,20,0,6.35,IN,1584511200
291,Balikpapan,-1.2675,116.8289,87.42,78,27,19.24,ID,1584511200
292,Ancud,-41.8697,-73.8203,49.73,89,0,2.64,CL,1584511200
293,Baoqing,46.3317,132.2111,37.13,82,90,4.92,CN,1584511200
294,Jacareacanga,-6.2222,-57.7528,72.77,97,76,0.76,BR,1584511200
295,La Ronge,55.1001,-105.2842,-2.47,96,100,2.48,CA,1584511200
296,Ondarroa,43.3167,-2.4167,54.59,80,0,5.12,ES,1584511200
297,Pineville,31.3224,-92.4343,66.81,97,88,4.99,US,1584511200
298,Kyra,49.5776,111.9753,29.03,36,0,27.83,RU,1584511200
299,San Cristobal,7.7669,-72.225,76.21,91,99,0.47,VE,1584511200
300,Klaipėda,55.7172,21.1175,42.94,88,97,20.24,LT,1584511200
301,Kysyl-Syr,63.8986,122.7617,-4.81,90,0,5.08,RU,1584511200
302,Cherskiy,68.75,161.3,0.77,95,100,8.1,RU,1584511200
303,Utiel,39.5667,-1.2,48.9,94,93,10.0,ES,1584511200
304,Port Blair,11.6667,92.75,83.57,62,61,10.02,IN,1584511200
305,Berlevåg,70.8578,29.0864,31.01,86,100,11.01,NO,1584511200
306,China,25.7,-99.2333,72.41,75,0,22.62,MX,1584511200
307,Erzin,36.9559,36.2,45.43,79,100,6.2,TR,1584511200
308,Santa Isabel Rio Negro,-0.4139,-65.0192,73.49,99,100,1.63,BR,1584511200
309,Alice Springs,-23.7,133.8833,95.04,18,0,7.81,AU,1584511200
310,Tarauacá,-8.1614,-70.7656,70.07,96,100,3.4,BR,1584511200
311,Khasan,42.4308,130.6434,45.05,60,60,12.28,RU,1584511200
312,Mar del Plata,-38.0023,-57.5575,65.93,77,100,4.32,AR,1584511200
313,Aripuanã,-9.1667,-60.6333,72.59,99,83,1.3,BR,1584511200
314,Mayo,38.8876,-76.5119,46.83,71,34,9.71,US,1584511200
315,Pokhara,28.2333,83.9833,82.31,28,0,3.56,NP,1584511200
316,Provideniya,64.3833,-173.3,30.04,98,99,9.26,RU,1584511200
317,Sabang,5.8933,95.3214,83.21,73,82,12.91,ID,1584511200
318,Fare,-16.7,-151.0167,83.75,68,100,5.17,PF,1584511200
319,Kruisfontein,-34.0033,24.7314,65.57,72,0,12.64,ZA,1584511200
320,Constitución,-35.3333,-72.4167,54.23,80,0,3.2,CL,1584511200
321,Seddon,-37.8068,144.8916,81.95,46,100,11.1,AU,1584511200
322,Cockburn Town,21.4612,-71.1419,75.11,75,26,19.3,TC,1584511200
323,Pauini,-7.7136,-66.9764,71.33,97,87,2.26,BR,1584511200
324,Mount Gambier,-37.8333,140.7667,82.35,47,100,3.11,AU,1584511200
325,Chapais,49.7834,-74.8492,2.62,93,86,6.24,CA,1584511200
326,Heilbron,-27.2812,27.9709,60.71,78,46,5.37,ZA,1584511200
327,Half Moon Bay,37.4636,-122.4286,47.21,75,96,3.38,US,1584511200
328,Maumere,-8.6199,122.2111,83.75,65,53,7.58,ID,1584511200
329,Murray Bridge,-35.1167,139.2667,91.85,17,60,8.37,AU,1584511200
330,Hollola,61.05,25.4333,38.26,90,99,9.15,FI,1584511200
331,Babayurt,43.6002,46.7789,41.81,70,83,9.42,RU,1584511200
332,Sola,-13.8833,167.55,84.47,70,83,7.25,VU,1584511200
333,Kalabo,-14.97,22.6814,67.73,91,100,6.87,ZM,1584511200
334,Ende,-8.8432,121.6623,85.37,68,60,11.21,ID,1584511200
335,Khilok,51.3674,110.4676,25.97,68,83,12.44,RU,1584511200
336,Mwanza,-2.5167,32.9,69.49,85,100,5.79,TZ,1584511200
337,Kipini,-2.5257,40.5262,86.09,66,100,9.53,KE,1584511200
338,Salekhard,66.53,66.6019,21.65,85,86,15.7,RU,1584511200
339,Sītāmau,24.0167,75.35,88.61,14,22,10.4,IN,1584511200
340,Lukovetskiy,64.2956,41.9211,33.93,97,100,9.06,RU,1584511200
341,Oranjemund,-28.55,16.4333,60.17,90,9,5.91,NA,1584511200
342,Olafsvik,64.8945,-23.7142,25.79,82,100,28.03,IS,1584511200
343,Yangi Marg`ilon,40.4272,71.7189,69.17,35,58,6.58,UZ,1584511200
344,Izberbash,42.5696,47.8645,39.29,68,83,2.57,RU,1584511200
345,Province of Mantua,45.1667,10.7833,45.77,76,0,0.65,IT,1584511200
346,Dongsheng,39.8161,109.9776,45.77,19,50,35.59,CN,1584511200
347,Luwuk,-0.9516,122.7875,85.19,72,43,13.35,ID,1584511200
348,Adana Province,36.985,35.2881,47.01,78,100,5.14,TR,1584511200
349,Cabo San Lucas,22.8909,-109.9124,69.73,64,93,4.61,MX,1584511200
350,Egvekinot,66.3167,-179.1667,11.75,98,91,8.21,RU,1584511200
351,Ambon City,-3.6954,128.1814,88.02,69,70,3.0,ID,1584511200
352,Kamen'-Rybolov,44.7481,132.0403,38.93,84,48,11.79,RU,1584511200
353,Piaçabuçu,-10.4056,-36.4344,77.45,87,99,5.01,BR,1584511200
354,San Matías,-16.3667,-58.4,75.83,86,75,4.99,BO,1584511200
355,Poso,-1.3959,120.7524,74.93,78,21,2.35,ID,1584511200
356,Waingapu,-9.6567,120.2641,85.37,69,17,12.21,ID,1584511200
357,Purpe,64.4803,76.6897,18.77,82,66,20.76,RU,1584511200
358,Pingzhuang,42.0372,119.2889,50.81,37,100,16.37,CN,1584511200
359,Bud,39.447,-86.1758,41.63,80,45,4.81,US,1584511200
360,Lüderitz,-26.6481,15.1594,62.69,86,0,19.77,NA,1584511200
361,Tual,-5.6667,132.75,83.03,70,62,3.96,ID,1584511200
362,Yerbogachën,61.2767,108.0108,10.49,86,3,7.38,RU,1584511200
363,San Roque,36.2107,-5.3842,60.31,89,100,37.33,ES,1584511200
364,Tevriz,57.509,72.4042,28.13,79,100,12.68,RU,1584511200
365,Huarmey,-10.0681,-78.1522,72.23,70,100,1.39,PE,1584511200
366,Nouadhibou,20.931,-17.0347,61.21,75,53,24.34,MR,1584511200
367,Daphne,30.6035,-87.9036,68.81,91,92,8.03,US,1584511200
368,Batemans Bay,-35.7167,150.1833,78.89,30,1,1.43,AU,1584511200
369,Ust-Tsilma,65.441,52.1498,27.59,90,100,10.36,RU,1584511200
370,Grand Gaube,-20.0064,57.6608,80.87,75,9,7.18,MU,1584511200
371,Mikhaylovka,50.06,43.2379,39.65,42,0,0.85,RU,1584511200
372,Okahandja,-21.9833,16.9167,67.01,76,64,6.53,NA,1584511200
373,Namatanai,-3.6667,152.4333,84.65,71,79,4.27,PG,1584511200
374,Knysna,-34.0363,23.0471,68.34,67,0,6.96,ZA,1584511200
375,Lorengau,-2.0226,147.2712,81.77,75,100,10.09,PG,1584511200
376,Coyhaique,-45.5752,-72.0662,45.34,96,1,5.64,CL,1584511200
377,Esmeralda,21.8525,-78.1169,72.59,79,6,9.46,CU,1584511200
378,Portel,-1.9356,-50.8211,73.49,99,55,2.13,BR,1584511200
379,Praia,14.9215,-23.5087,67.21,76,3,11.65,CV,1584511200
380,Farmington,36.7281,-108.2187,47.21,40,73,10.92,US,1584511200
381,Lieksa,63.3167,30.0167,33.71,95,70,13.18,FI,1584511200
382,Shirokiy,49.758,129.523,31.01,96,100,5.84,RU,1584511200
383,Ouégoa,-20.35,164.4333,76.37,77,32,5.91,NC,1584511200
384,Kirakira,-10.4544,161.9205,80.87,82,29,1.81,SB,1584511200
385,Kropotkin,45.4375,40.5756,38.93,53,86,18.12,RU,1584511200
386,Husavik,66.0449,-17.3389,29.37,93,100,11.77,IS,1584511200
387,Republic,37.12,-93.4802,48.54,90,86,14.32,US,1584511200
388,Atar,20.5169,-13.0499,59.27,38,65,11.25,MR,1584511200
389,Boone,39.0334,-92.3335,47.21,85,100,10.25,US,1584511200
390,Kariba,-16.5167,28.8,69.17,92,100,1.43,ZW,1584511200
391,Yarega,63.4354,53.5765,26.69,84,100,13.18,RU,1584511200
392,Koupéla,12.1794,-0.3517,76.01,14,0,4.81,BF,1584511200
393,Muhafazat Lahij,13.1667,44.5833,76.73,73,100,13.51,YE,1584511200
394,Bhuj,23.2667,69.6667,86.09,28,0,9.51,IN,1584511200
395,Matara,5.9485,80.5353,91.13,50,97,10.89,LK,1584511200
396,Acapulco de Juárez,16.8634,-99.8901,79.34,78,0,2.82,MX,1584511200
397,Lilongwe,-13.9669,33.7873,66.65,90,79,3.76,MW,1584511200
398,Fuyang,32.9,115.8167,74.57,43,0,14.58,CN,1584511200
399,Yumen,40.2833,97.2,59.09,11,33,17.94,CN,1584511200
400,Newport,51.5877,-2.9984,50.34,90,100,15.08,GB,1584511200
401,St. George's,12.0564,-61.7485,78.35,78,18,15.82,GD,1584511200
402,Cap Malheureux,-19.9842,57.6142,80.87,75,9,7.18,MU,1584511200
403,Liverpool,53.4106,-2.9779,46.27,95,100,4.88,GB,1584511200
404,Kutum,14.2,24.6667,67.01,17,83,7.74,SD,1584511200
405,Sitka,57.0531,-135.33,38.46,80,70,6.13,US,1584511200
406,Panzhihua,26.5851,101.7128,81.41,21,0,0.85,CN,1584511200
407,Sobolevo,54.4299,31.8996,36.23,82,48,12.26,RU,1584511200
408,Tete,-16.1564,33.5867,77.05,88,57,5.82,MZ,1584511200
409,Krasnosel'kup,65.7,82.4667,21.65,91,100,14.94,RU,1584511200
410,São João da Barra,-21.6403,-41.0511,76.55,88,100,4.5,BR,1584511200
411,Mbandaka,0.0487,18.2603,73.67,82,98,3.69,CD,1584511200
412,Roald,62.5833,6.1333,40.73,68,97,31.88,NO,1584511200
413,Aljezur,37.3191,-8.8033,57.65,76,100,21.41,PT,1584511200
414,Balakliya,49.4627,36.8595,39.29,52,0,1.03,UA,1584511200
415,Okha,53.5739,142.9478,25.97,89,91,9.84,RU,1584511200
416,Ciumeghiu,46.7333,21.5833,43.97,74,57,5.32,RO,1584511200
417,Bongandanga,1.5,21.05,75.11,84,100,3.13,CD,1584511200
418,Coquimbo,-29.9533,-71.3436,61.07,84,0,1.54,CL,1584511200
419,Labuan,5.2767,115.2417,86.05,79,12,10.54,MY,1584511200
420,Salamanca,40.8333,-6.0,42.89,90,0,10.76,ES,1584511200
421,Forio,40.7342,13.8646,56.93,73,0,4.12,IT,1584511200
422,Otacílio Costa,-27.4831,-50.1219,63.77,98,98,4.09,BR,1584511200
423,Torbay,47.6666,-52.7314,31.19,75,84,31.56,CA,1584511200
424,Dunedin,-45.8742,170.5036,62.06,74,62,5.82,NZ,1584511200
425,Najrān,17.4924,44.1277,82.51,42,100,12.06,SA,1584511200
426,Russell,32.3502,-85.1999,64.13,84,100,2.75,US,1584511200
427,Carutapera,-1.195,-46.02,81.23,82,89,11.01,BR,1584511200
428,Andenes,69.3143,16.1194,41.45,74,100,25.14,NO,1584511200
429,Saint George,37.1041,-113.5841,47.93,65,93,4.38,US,1584511200
430,Ngudu,-2.9667,33.3333,66.11,92,100,7.47,TZ,1584511200
431,Lengshuitan,26.4111,111.5956,63.77,77,97,4.56,CN,1584511200
432,Kubrat,43.8,26.5,42.35,58,52,6.26,BG,1584511200
433,Kumul,42.8,93.45,57.29,16,0,3.65,CN,1584511200
434,Chikwawa,-16.0335,34.8009,67.91,88,78,5.44,MW,1584511200
435,Skibbereen,51.55,-9.2667,45.05,84,100,14.25,IE,1584511200
436,Mogadishu,2.0371,45.3438,82.49,81,20,15.79,SO,1584511200
437,Iskateley,67.6803,53.1512,26.87,92,100,18.14,RU,1584511200
438,Roblin,51.23,-101.3565,9.41,92,100,11.05,CA,1584511200
439,Kota Kinabalu,5.9749,116.0724,88.52,72,5,9.71,MY,1584511200
440,The Valley,18.217,-63.0578,77.81,77,18,17.02,AI,1584511200
441,Karratha,-20.7377,116.8463,90.23,55,0,10.4,AU,1584511200
442,Dogondoutchi,13.6393,4.0287,74.03,9,0,8.05,NE,1584511200
443,Vagay,57.9375,69.0217,28.49,81,70,9.31,RU,1584511200
444,Bereda,43.2686,-7.5406,45.0,93,0,2.75,ES,1584511200
445,Laguna,38.421,-121.4238,45.23,74,100,2.13,US,1584511200
446,Nelson Bay,-32.7167,152.15,74.93,54,2,5.59,AU,1584511200
447,Quatre Cocos,-20.2078,57.7625,79.97,76,0,5.95,MU,1584511200
448,Kashgar,39.4547,75.9797,59.63,18,100,2.64,CN,1584511200
449,Nemuro,43.3236,145.575,43.05,87,3,5.91,JP,1584511200
450,Capelinha,-17.6914,-42.5158,63.59,97,0,2.08,BR,1584511200
451,Faya,18.3851,42.4509,70.7,56,66,11.99,SA,1584511200
452,Souris,49.6172,-100.2612,15.69,95,95,10.22,CA,1584511200
453,Tari,12.4086,4.4914,74.03,8,92,9.22,NG,1584511200
454,Kuching,1.55,110.3333,81.77,91,73,7.0,MY,1584511200
455,Biltine,14.5333,20.9167,76.73,12,100,17.81,TD,1584511200
456,Changde,29.0464,111.6783,72.05,42,4,4.47,CN,1584511200
457,Nurota,40.5614,65.6886,63.23,44,4,12.26,UZ,1584511200
458,Kouroussa,10.65,-9.8833,74.21,65,42,8.32,GN,1584511200
459,Khovd,48.0056,91.6419,49.37,20,32,1.72,MN,1584511200
460,Madukkarai,10.9,76.9667,89.51,32,44,10.51,IN,1584511200
461,Baringo,0.4667,35.9667,78.89,49,100,5.14,KE,1584511200
462,Rodrigues Alves,-7.738,-72.6509,70.25,99,100,0.78,BR,1584511200
463,Anking,30.5092,117.0506,71.33,49,0,11.9,CN,1584511200
464,North Bend,43.4065,-124.2243,44.8,92,100,1.3,US,1584511200
465,Palmer,42.1584,-72.3287,34.0,84,2,4.09,US,1584511200
466,Corbélia,-24.7989,-53.3067,74.28,94,8,5.06,BR,1584511200
467,Maués,-3.3836,-57.7186,75.47,93,100,2.19,BR,1584511200
468,Bambanglipuro,-7.95,110.2833,86.27,69,61,8.7,ID,1584511200
469,Lata,40.1629,-8.3327,51.96,83,0,3.76,PT,1584511200
470,Cassilândia,-19.1133,-51.7342,70.43,91,16,2.35,BR,1584511200
471,Teruel,40.6667,-0.6667,44.44,88,43,3.91,ES,1584511200
472,Arman',59.7,150.1667,13.19,80,71,3.4,RU,1584511200
473,College,64.8569,-147.8028,25.61,95,100,0.92,US,1584511200
474,Turukhansk,65.8167,87.9833,17.15,91,100,8.1,RU,1584511200
475,Salalah,17.0151,54.0924,84.02,61,23,5.5,OM,1584511200
476,Labuhan,-6.8844,112.2051,86.99,68,59,10.0,ID,1584511200
477,Kedrovyy,56.1667,91.8167,36.01,75,100,20.2,RU,1584511200
478,Jimma,7.6667,36.8333,65.21,80,100,1.12,ET,1584511200
479,Gympie,-26.1898,152.665,76.73,58,26,10.11,AU,1584511200
480,Ubaitaba,-14.3125,-39.3233,76.66,99,66,2.04,BR,1584511200
481,Guangming,45.3333,122.7833,50.63,28,100,12.53,CN,1584511200
482,Remedios,22.4947,-79.5458,73.67,82,6,14.45,CU,1584511200
483,De-Kastri,51.4667,140.7833,28.49,90,100,6.04,RU,1584511200
484,Ciudad Bolivar,8.1222,-63.5497,74.03,78,1,10.76,VE,1584511200
485,Nanpiao,41.0982,120.7479,65.21,23,100,14.03,CN,1584511200
486,Khairāgarh,26.95,77.8167,86.27,20,0,7.87,IN,1584511200
487,Praia da Vitória,38.7333,-27.0667,62.15,80,0,15.86,PT,1584511200
488,Honchō,41.8833,140.6833,44.29,72,12,11.65,JP,1584511200
489,Inongo,-1.95,18.2667,73.67,85,100,4.0,CD,1584511200
490,Hargeisa,9.56,44.065,74.21,45,49,13.38,SO,1584511200
491,Teya,60.3778,92.6267,28.31,87,100,16.55,RU,1584511200
492,Alenquer,-1.9417,-54.7383,75.4,97,100,3.15,BR,1584511200
493,Vestmannaeyjar,63.4427,-20.2734,31.91,71,0,24.43,IS,1584511200
494,Yulara,-25.2406,130.9889,100.85,12,0,7.65,AU,1584511200
495,Srednekolymsk,67.45,153.6833,-2.83,90,82,5.61,RU,1584511200
496,Bandarbeyla,9.4942,50.8122,78.89,72,73,12.12,SO,1584511200
497,Hukuntsi,-24.0,21.75,67.73,66,0,12.95,BW,1584511200
498,Uyuni,-20.4597,-66.825,52.07,69,85,13.18,BO,1584511200
499,Lumberton,34.6182,-79.0086,57.83,98,73,3.65,US,1584511200
500,Manavālakurichi,8.1333,77.3,87.98,71,84,20.24,IN,1584511200
501,Itaituba,-4.2761,-55.9836,72.77,97,98,1.39,BR,1584511200
502,Paamiut,61.994,-49.6678,15.71,78,100,16.89,GL,1584511200
503,Miraflores,19.2167,-98.8083,59.45,70,85,2.66,MX,1584511200
504,Hibbing,47.4272,-92.9377,20.03,93,24,3.06,US,1584511200
505,Bull Savanna,17.8868,-77.5902,64.67,91,8,4.41,JM,1584511200
506,Parkersburg,39.2667,-81.5615,41.94,93,33,3.2,US,1584511200
507,San Miguel de Tucumán,-26.8241,-65.2226,69.19,95,0,5.79,AR,1584511200
508,Musoma,-1.5,33.8,73.96,86,99,3.78,TZ,1584511200
509,Shediac,46.2198,-64.5411,36.23,93,100,9.78,CA,1584511200
510,Port Macquarie,-31.4333,152.9167,74.86,56,0,8.19,AU,1584511200
511,Mahon,39.8885,4.2658,58.73,81,88,14.58,ES,1584511200
512,Panguipulli,-39.6333,-72.3333,47.61,98,0,2.35,CL,1584511200
513,Stornoway,58.2093,-6.3865,38.21,67,17,18.39,GB,1584511200
514,Sonoma,38.55,-122.9011,42.37,87,99,2.17,US,1584511200
515,Sechura,-5.5569,-80.8222,74.75,89,59,0.58,PE,1584511200
516,Avilés,43.5547,-5.9248,49.42,95,0,1.36,ES,1584511200
517,Beringovskiy,63.05,179.3167,28.85,90,99,6.35,RU,1584511200
518,Tabuk,17.4189,121.4443,85.01,54,32,7.2,PH,1584511200
519,Mosquera,4.7059,-74.2302,53.69,96,96,2.89,CO,1584511200
520,San Jose,37.3394,-121.895,49.19,65,100,2.86,US,1584511200
521,Kerema,-7.9631,145.7785,82.85,78,62,5.55,PG,1584511200
522,Hambantota,6.1241,81.1185,83.21,75,93,17.49,LK,1584511200
523,Xiongyue,40.1774,122.1228,61.43,28,55,20.76,CN,1584511200
524,Jørpeland,59.0225,6.0408,39.47,89,100,15.3,NO,1584511200
525,Vélingara,13.15,-14.1167,68.81,26,15,3.71,SN,1584511200
526,Broken Hill,-31.95,141.4333,88.79,18,0,9.19,AU,1584511200
527,Kabare,-2.4683,28.8242,64.67,92,97,1.25,CD,1584511200
528,Kombissiri,12.0656,-1.3375,82.38,52,0,1.5,BF,1584511200
529,Santa Rita,-7.1139,-34.9781,78.91,81,77,1.41,BR,1584511200
530,Mitsamiouli,-11.3847,43.2844,82.85,69,94,3.22,KM,1584511200
531,Rognedino,53.8015,33.5576,37.13,84,86,10.67,RU,1584511200
532,At-Bashi,41.1702,75.8106,22.55,86,83,3.4,KG,1584511200
533,Hay River,60.8156,-115.7999,-3.35,94,50,5.12,CA,1584511200
534,San Juan,-31.5375,-68.5364,68.09,59,0,9.57,AR,1584511200
535,Portland,45.5234,-122.6762,45.61,79,100,5.37,US,1584511200
536,São Miguel do Araguaia,-13.275,-50.1628,71.87,96,81,2.04,BR,1584511200
537,Balabag,11.97,121.9192,78.89,80,27,14.79,PH,1584511200
538,Maltahöhe,-24.8333,16.9833,72.95,27,0,12.01,NA,1584511200
539,Mayumba,-3.432,10.6554,80.87,81,100,5.23,GA,1584511200
540,Katobu,-4.9408,122.5276,84.29,79,54,3.11,ID,1584511200
541,Taksimo,56.3444,114.8794,27.77,62,99,8.01,RU,1584511200
